step,cap_deg,ix_j0,ix_j1,ix_j2,ix_j3,th_j0,th_j1,th_j2,th_j3,mi_j0,mi_j1,mi_j2,mi_j3,ri_j0,ri_j1,ri_j2,ri_j3
139,138.17,-0.301408,1.61,-0.174,-0.227,1.396,0.651232,0.574653,-0.162,0.087651,1.428776,-0.057151,0.468954,0.282745,1.570401,-0.043221,-0.158792
140,138.43,-0.297921,1.61,-0.174,-0.227,1.396,0.622304,0.567564,-0.162,0.070396,1.440237,-0.066763,0.472569,0.285609,1.572272,-0.028021,-0.163471
141,139.32,-0.28467,1.61,-0.174,-0.227,1.396,0.607265,0.552716,-0.162,0.067031,1.445974,-0.065505,0.462296,0.29736,1.575164,-0.011743,-0.154261
142,139.71,-0.286889,1.61,-0.174,-0.227,1.396,0.606114,0.535735,-0.162,0.077555,1.448623,-0.048022,0.440576,0.290191,1.576805,0.006042,-0.131162
143,140.36,-0.277963,1.61,-0.174,-0.227,1.396,0.618853,0.518803,-0.162,0.101967,1.460178,-0.052857,0.432746,0.298816,1.57671,0.021738,-0.094797
144,140.21,-0.287512,1.61,-0.174,-0.227,1.396,0.64548,0.513764,-0.162,0.140268,1.464178,-0.04801,0.438805,0.287076,1.595212,-0.012764,-0.072321
145,140.01,-0.301223,1.61,-0.174,-0.227,1.396,0.658219,0.511256,-0.162,0.132656,1.463484,-0.053776,0.458753,0.271357,1.61,-0.046321,-0.063734
146,140.29,-0.297273,1.61,-0.174,-0.227,1.396,0.657068,0.529204,-0.162,0.138115,1.455616,-0.062389,0.464811,0.278398,1.61,-0.068843,-0.069035
147,141.25,-0.303132,1.61,-0.174,-0.227,1.396,0.642029,0.546981,-0.162,0.128496,1.435212,-0.084892,0.484044,0.271253,1.592978,-0.075476,-0.088226
148,142.2,-0.31082,1.61,-0.174,-0.227,1.396,0.613101,0.552999,-0.162,0.128093,1.431257,-0.093505,0.489388,0.272527,1.582475,-0.072403,-0.112389
149,142.56,-0.308602,1.61,-0.174,-0.227,1.396,0.598061,0.554519,-0.162,0.131394,1.427044,-0.088229,0.480843,0.276834,1.575348,-0.067193,-0.122664
150,142.69,-0.30232,1.61,-0.174,-0.227,1.396,0.596911,0.552227,-0.162,0.135025,1.429555,-0.070518,0.458409,0.284656,1.570866,-0.055541,-0.119049
151,142.82,-0.294151,1.61,-0.174,-0.227,1.396,0.609649,0.550775,-0.162,0.124767,1.436414,-0.075526,0.449864,0.291317,1.57186,-0.043943,-0.101546
152,143.33,-0.288186,1.61,-0.174,-0.227,1.396,0.608499,0.547273,-0.162,0.118252,1.445904,-0.080044,0.447213,0.296427,1.576663,-0.043941,-0.070153
153,144.27,-0.273809,1.61,-0.174,-0.227,1.396,0.614271,0.536526,-0.162,0.125627,1.4381,-0.06199,0.45845,0.307916,1.57627,-0.033836,-0.048241
