step,level_index_c_dist,level_index_c_prox,level_index_ny_dist,level_index_ny_prox,level_index_py_dist,level_index_py_prox,level_thumb_c_dist,level_thumb_c_prox,level_thumb_ny_dist,level_thumb_ny_prox,level_thumb_py_dist,level_thumb_py_prox,level_middle_c_dist,level_middle_c_prox,level_middle_ny_dist,level_middle_ny_prox,level_middle_py_dist,level_middle_py_prox,level_ring_c_dist,level_ring_c_prox,level_ring_ny_dist,level_ring_ny_prox,level_ring_py_dist,level_ring_py_prox,filt_index_c_dist,filt_index_c_prox,filt_index_ny_dist,filt_index_ny_prox,filt_index_py_dist,filt_index_py_prox,filt_thumb_c_dist,filt_thumb_c_prox,filt_thumb_ny_dist,filt_thumb_ny_prox,filt_thumb_py_dist,filt_thumb_py_prox,filt_middle_c_dist,filt_middle_c_prox,filt_middle_ny_dist,filt_middle_ny_prox,filt_middle_py_dist,filt_middle_py_prox,filt_ring_c_dist,filt_ring_c_prox,filt_ring_ny_dist,filt_ring_ny_prox,filt_ring_py_dist,filt_ring_py_prox,tot_index,tot_thumb,tot_middle,tot_ring
59,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.21,0.0,0.0,5.14,2.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.9,0.0,0.12,0.0,0.0,0.01,0.0,0.02,0.01,0.05,0.01,6.4,0.0,1.0,0.0
60,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.18,0.0,0.0,4.55,1.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.88,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.01,5.7,0.0,0.9,0.0
61,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.13,0.32,0.64,3.88,1.64,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.89,0.0,0.07,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,6.5,0.0,0.9,0.0
62,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.09,0.35,0.75,3.04,1.27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.84,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,3.0,0.0,0.9,0.0
63,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.06,0.42,0.95,2.54,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.85,0.0,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,3.8,0.0,0.9,0.0
64,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.05,0.65,0.67,2.62,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,4.6,0.0,0.9,0.0
65,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.03,0.45,0.47,2.75,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,3.8,0.0,0.9,0.0
66,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.02,0.42,0.33,2.23,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.4,0.0
67,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.24,0.02,0.49,0.23,2.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.5,0.0
68,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.24,0.02,0.75,0.16,2.41,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,6.8,0.0
